UserID,SessionID,TitleID,Title,Genres,IsSeries,Season,EpisodeNumber,FullContentDurationSeconds,WatchStart,WatchEnd,WatchDurationSeconds,EventType,Device,Country,Rating
U0001,U0001_S001,T0143,Horror Title 143,Horror,True,2,3,2460,2025-06-16 06:48:32,2025-06-16 07:14:36,1564,partial,Game Console,IN,3.5
U0001,U0001_S002,T0277,Romance Title 277,Romance,False,,,6720,2025-08-02 22:34:19,2025-08-02 23:26:59,3160,partial,Game Console,US,
U0001,U0001_S003,T0053,Sci-Fi Title 53,Sci-Fi,True,4,1,2880,2025-04-01 11:09:43,2025-04-01 11:19:57,614,partial,Smart TV,US,
U0001,U0001_S003,T0282,Animation Title 282,Animation,True,3,7,1080,2025-04-01 11:24:16,2025-04-01 11:30:38,382,partial,Web,CA,
U0001,U0001_S003,T0299,Horror Title 299,Horror|Drama,True,1,4,1800,2025-04-01 11:39:29,2025-04-01 12:03:35,1446,partial,Smart TV,AU,
U0001,U0001_S004,T0054,Thriller Title 54,Thriller|Sci-Fi,False,,,7020,2025-05-28 12:07:54,2025-05-28 13:02:20,3266,partial,Mobile,MX,
U0001,U0001_S004,T0209,Action Title 209,Action,False,,,4800,2025-05-28 13:11:04,2025-05-28 14:25:18,4454,complete,Tablet,DE,
U0002,U0002_S001,T0097,Documentary Title 97,Documentary,False,,,7380,2025-07-22 17:46:54,2025-07-22 18:12:37,1543,partial,Tablet,IN,
U0002,U0002_S001,T0207,Documentary Title 207,Documentary,True,1,12,2880,2025-07-22 18:22:01,2025-07-22 18:30:10,489,partial,Mobile,US,
U0003,U0003_S001,T0041,Thriller Title 41,Thriller,True,1,6,1260,2025-04-06 04:31:08,2025-04-06 04:46:27,919,partial,Tablet,MX,
U0003,U0003_S002,T0165,Comedy Title 165,Comedy,True,3,12,1500,2025-04-29 05:12:53,2025-04-29 05:29:05,972,partial,Smart TV,US,4.2
U0004,U0004_S001,T0216,Action Title 216,Action|Romance,False,,,6780,2025-02-20 15:10:56,2025-02-20 15:36:16,1520,partial,Smart TV,DE,3.5
U0004,U0004_S002,T0143,Horror Title 143,Horror,True,4,6,2460,2025-04-23 03:31:12,2025-04-23 03:57:16,1564,partial,Mobile,IN,2.8
U0004,U0004_S003,T0251,Drama Title 251,Drama,False,,,6180,2025-02-25 16:30:23,2025-02-25 17:35:38,3915,partial,Tablet,US,
U0004,U0004_S004,T0187,Thriller Title 187,Thriller,True,1,4,2100,2025-07-23 10:22:55,2025-07-23 10:51:44,1729,partial,Game Console,US,3.5
U0004,U0004_S005,T0025,Romance Title 25,Romance,False,,,6480,2025-04-16 04:23:17,2025-04-16 04:39:26,969,partial,Web,UK,3.9
U0004,U0004_S005,T0164,Sci-Fi Title 164,Sci-Fi,False,,,6480,2025-04-16 04:47:07,2025-04-16 05:27:04,2397,partial,Game Console,DE,4.2
U0004,U0004_S005,T0235,Family Title 235,Family,True,3,10,1500,2025-04-16 05:35:26,2025-04-16 05:58:11,1365,complete,Smart TV,UK,
U0005,U0005_S001,T0199,Drama Title 199,Drama,True,1,11,1080,2025-04-07 22:17:24,2025-04-07 22:33:59,995,complete,Smart TV,US,3.3
U0005,U0005_S002,T0158,Thriller Title 158,Thriller,False,,,7740,2025-07-16 22:07:33,2025-07-16 23:45:02,5849,partial,Smart TV,IN,3.6
U0005,U0005_S003,T0108,Action Title 108,Action,True,2,3,1800,2025-07-31 12:20:09,2025-07-31 12:43:09,1380,partial,Smart TV,DE,3.1
U0006,U0006_S001,T0269,Horror Title 269,Horror,False,,,5460,2025-06-07 15:29:27,2025-06-07 16:07:19,2272,partial,Web,US,3.7
U0006,U0006_S002,T0209,Action Title 209,Action,False,,,4800,2025-04-25 08:00:07,2025-04-25 09:16:23,4576,complete,Mobile,IN,
U0006,U0006_S002,T0050,Sci-Fi Title 50,Sci-Fi,False,,,7620,2025-04-25 09:23:24,2025-04-25 10:24:12,3648,partial,Smart TV,DE,
U0006,U0006_S002,T0114,Romance Title 114,Romance,True,2,2,1560,2025-04-25 10:27:25,2025-04-25 10:46:12,1127,partial,Tablet,IN,
U0006,U0006_S002,T0286,Romance Title 286,Romance,False,,,8640,2025-04-25 10:47:12,2025-04-25 12:45:30,7098,partial,Web,DE,4.3
U0006,U0006_S003,T0084,Documentary Title 84,Documentary,False,,,6000,2025-07-28 21:02:23,2025-07-28 22:30:26,5283,partial,Smart TV,MX,3.2
U0007,U0007_S001,T0042,Comedy Title 42,Comedy,True,1,7,2040,2025-03-01 19:42:41,2025-03-01 20:08:57,1576,partial,Tablet,US,
U0007,U0007_S001,T0053,Sci-Fi Title 53,Sci-Fi,True,4,6,2880,2025-03-01 20:11:57,2025-03-01 20:43:32,1895,partial,Smart TV,IN,4.1
U0007,U0007_S001,T0239,Comedy Title 239,Comedy,True,1,8,1920,2025-03-01 20:49:37,2025-03-01 21:18:29,1732,complete,Mobile,BR,
U0007,U0007_S002,T0224,Family Title 224,Family|Animation,True,1,11,2340,2025-07-09 18:16:47,2025-07-09 18:41:22,1475,partial,Web,IN,4.1
U0007,U0007_S002,T0010,Drama Title 10,Drama,True,1,10,2040,2025-07-09 18:44:23,2025-07-09 18:59:00,877,partial,Mobile,IN,4.0
U0007,U0007_S002,T0191,Action Title 191,Action,False,,,4500,2025-07-09 19:08:49,2025-07-09 20:11:33,3764,partial,Web,US,
